task,split,metric,metric_label,model_id,label,score
context,test,mean_rouge1,ROUGE-1,model_4,Base -> Context,0.2261197296399082
context,test,mean_rouge1,ROUGE-1,model_5,Base -> QA,0.150186651182484
context,test,mean_rougeL,ROUGE-L,model_0,Base -> Alpaca -> QA,0.1279094691030278
context,test,mean_rougeL,ROUGE-L,model_1,Base -> Alpaca -> Context,0.1339189569556577
context,test,mean_rougeL,ROUGE-L,model_2,QA -> Context,0.1445900649574619
context,test,mean_rougeL,ROUGE-L,model_3,Chat -> QA,0.1218089220977175
context,test,mean_rougeL,ROUGE-L,model_4,Base -> Context,0.161943752120663
context,test,mean_rougeL,ROUGE-L,model_5,Base -> QA,0.1204327226852241
context,test,mean_rouge3,ROUGE-3,model_0,Base -> Alpaca -> QA,0.0553036698005488
context,test,mean_rouge3,ROUGE-3,model_1,Base -> Alpaca -> Context,0.0453808050213313
context,test,mean_rouge3,ROUGE-3,model_2,QA -> Context,0.0315398500058179
context,test,mean_rouge3,ROUGE-3,model_3,Chat -> QA,0.0142599949735722
context,test,mean_rouge3,ROUGE-3,model_4,Base -> Context,0.0225389011936998
context,test,mean_rouge3,ROUGE-3,model_5,Base -> QA,0.0496143195730083
context,test,mean_rouge4,ROUGE-4,model_0,Base -> Alpaca -> QA,0.0452760726093613
context,test,mean_rouge4,ROUGE-4,model_1,Base -> Alpaca -> Context,0.0349956291666345
context,test,mean_rouge4,ROUGE-4,model_2,QA -> Context,0.0252907756701115
context,test,mean_rouge4,ROUGE-4,model_3,Chat -> QA,0.0081484609462829
context,test,mean_rouge4,ROUGE-4,model_4,Base -> Context,0.013381592540513
context,test,mean_rouge4,ROUGE-4,model_5,Base -> QA,0.0407915763366397
context,test,mean_bertscore_f1,BERTScore F1,model_0,Base -> Alpaca -> QA,0.8330725828806559
context,test,mean_bertscore_f1,BERTScore F1,model_1,Base -> Alpaca -> Context,0.7859500924746196
context,test,mean_bertscore_f1,BERTScore F1,model_2,QA -> Context,0.7685592929522197
context,test,mean_bertscore_f1,BERTScore F1,model_3,Chat -> QA,0.7725019733111064
context,test,mean_bertscore_f1,BERTScore F1,model_4,Base -> Context,0.7820322632789611
context,test,mean_bertscore_f1,BERTScore F1,model_5,Base -> QA,0.8224420468012492
